"","run_id","region","rc","rd","ld","hd","lc","hc","foii","wh1","wh2","wh3","wh4","wl1","wl2","wl3","wl4","dd1","dd2","dr1","dr2","bd1","bd2","bd3","bd4","bd5","bd6","bd7","br","wv1","wv2","wv3","wv4","cfr1","cfr2","cfr3","cfr4","cfr5","cfr6","ve"
"17",17,"hyper",0.183778625,0.650699557,0.882953,0.9879,0.183861086,0.873293978,1.76e-07,0.018762488,0.005715646,0.008030216,0.001371037,0.003440079,0.000865856,0.000894498,0.000298409,0.001889355,-9.74e-08,0.001860972,-9.2e-08,0.03070601,0.059864901,0.118833732,0.088143145,0.111488943,0.140525117,0.26096913,0.357455165,0,0.001322422,0.001322422,0.001322422,0.085,0.0875,0.07,0.0881818181818182,0.0836363636363636,0.121212121212121,0.89
"18",18,"hyper",0.215990231,0.751176535,0.899441889,0.974728885,0.197939313,0.848092681,7.98e-07,0.01508479,0.00884263,0.009426541,0.001501094,0.002280039,0.000885694,0.000532214,0.000496805,0.001887256,-1.05e-07,0.001888041,-9.33e-08,0.037648262,0.085574343,0.145470675,0.132481084,0.095256788,0.116349667,0.159177503,0.439344581,0,0.001322422,0.001322422,0.001322422,0.13,0.0988636363636364,0.0863636363636364,0.0854545454545454,0.0818181818181818,0.117121212121212,0.884
"19",19,"hyper",0.202404831,0.645598775,0.853053879,0.941441417,0.200732475,0.782350829,3.99e-07,0.005786755,0.008979432,0.008591683,0.001961281,0.003893154,0.000846326,0.000759229,0.000137835,0.001877805,-1.08e-07,0.001908843,-9.43e-08,0.030597046,0.074369546,0.079967882,0.104049058,0.131132288,0.191146937,0.23528119,0.350402298,0,0.001322422,0.001322422,0.001322422,0.11,0.0875,0.0827272727272727,0.08,0.0827272727272727,0.113939393939394,0.888
"20",20,"hyper",0.196119926,0.659987504,0.905042323,0.933875405,0.175868079,0.885144555,9.09e-07,0.016335978,0.009801996,0.007581556,0.00113146,0.003665928,0.000864709,0.000570044,0.000350732,0.001878291,-9.82e-08,0.001870789,-1.05e-07,0.038818127,0.076707568,0.084329702,0.142166138,0.123013967,0.183586023,0.180948451,0.358268538,0,0.001322422,0.001322422,0.001322422,0.115,0.102272727272727,0.0772727272727273,0.0781818181818182,0.0790909090909091,0.124545454545455,0.872
"21",21,"hyper",0.203949371,0.613529727,0.819140501,0.932525159,0.210171988,0.787642433,4.79e-07,0.008542565,0.006174869,0.005787247,0.001125087,0.003954855,0.000654205,0.000642018,0.000636515,0.001850462,-9.01e-08,0.00186344,-9.12e-08,0.031844394,0.086037552,0.137613378,0.123816997,0.100571459,0.178306587,0.166767134,0.356557464,0,0.001322422,0.001322422,0.001322422,0.11,0.0977272727272727,0.0981818181818182,0.0836363636363636,0.0754545454545455,0.122424242424242,0.916
"22",22,"hyper",0.202987455,0.619959818,0.907014407,0.965406972,0.160483589,0.852494115,5.02e-07,0.007441196,0.004569227,0.003797261,0.001852816,0.003289932,0.000755283,0.000592781,0.000578106,0.001885759,-9.83e-08,0.001901562,-1.01e-07,0.036575608,0.068960994,0.107890248,0.139239281,0.073440658,0.159934908,0.210702322,0.399908317,0,0.001322422,0.001322422,0.001322422,0.12,0.0943181818181818,0.0845454545454545,0.0836363636363636,0.0854545454545454,0.117727272727273,0.894
"23",23,"hyper",0.208331757,0.696404402,0.805793736,0.925170644,0.171476941,0.711812578,6.32e-07,0.008128245,0.002974634,0.006306248,0.001884939,0.002367658,0.0009266,0.000656089,0.000166758,0.001927787,-9.68e-08,0.001869347,-1.06e-07,0.031644115,0.081238796,0.057827771,0.13137889,0.097273544,0.182539615,0.249957746,0.363457338,0,0.001322422,0.001322422,0.001322422,0.155,0.109090909090909,0.0854545454545454,0.0972727272727273,0.0709090909090909,0.123181818181818,0.896
"24",24,"hyper",0.209351491,0.674529012,0.836748321,0.98945467,0.254596969,0.752500757,1.18e-07,0.018605602,0.002594417,0.009527307,0.001665376,0.002421697,0.000916455,0.000824207,0.000173986,0.001899984,-9.92e-08,0.001901689,-9.1e-08,0.034542505,0.09501526,0.119702797,0.144571795,0.095365507,0.123649624,0.178629406,0.397433307,0,0.001322422,0.001322422,0.001322422,0.095,0.075,0.0863636363636364,0.0972727272727273,0.0781818181818182,0.125757575757576,0.9
"25",25,"hyper",0.208182875,0.760029969,0.932380905,0.915739321,0.262274908,0.892816363,2.51e-07,0.007878545,0.006665924,0.005754007,0.00108858,0.003619048,0.000959598,0.000942579,0.000684191,0.001893218,-1.07e-07,0.001855936,-1.02e-07,0.036277906,0.064710972,0.147074833,0.136523838,0.093572603,0.195553855,0.268236896,0.41992569,0,0.001322422,0.001322422,0.001322422,0.09,0.111363636363636,0.0763636363636364,0.0954545454545455,0.0818181818181818,0.121363636363636,0.916
"26",26,"hyper",0.209035945,0.685008667,0.928504212,0.933805687,0.17211944,0.863480485,5.16e-07,0.01702561,0.006464078,0.006540627,0.001605008,0.003432383,0.000977316,0.000502642,0.000482057,0.001943891,-9.9e-08,0.001906091,-1.01e-07,0.039393082,0.074207558,0.1490893,0.147144955,0.114772253,0.11960773,0.241596739,0.395055665,0,0.001322422,0.001322422,0.001322422,0.065,0.0829545454545455,0.0918181818181818,0.0863636363636364,0.0681818181818182,0.114090909090909,0.9
